_id,sku_id,sku_name,department,category,subcategory,brand,usual_monthly_sales,current_stock,safety_stock,reorder_point,warehouse,lead_time_days,unit,unit_price,currency,is_active
OID00000016,SKU00016,Heritage Lassi Family Pack,Dairy,Milk,Fresh Milk,Heritage,5269,6100,1763,2296,WH-BLR-S02,5,packet,438,INR,True
OID00000017,SKU00017,Parle Namkeen 250ml,Snacks,Chips,Packaged Snacks,Parle,3998,1918,1096,1656,WH-CBE-S01,10,packet,293,INR,True
OID00000018,SKU00018,Britannia White Bread 100g,Bakery,Bread,Bakery,Britannia,6098,3138,2294,2862,WH-HYD-S03,2,packet,288,INR,True
OID00000019,SKU00019,Aashirvaad Masoor Dal 1L,Pulses,Dal,Staples,Aashirvaad,1383,4174,545,1814,WH-BLR-S02,8,kg,164,INR,True
OID00000020,SKU00020,FarmPick Cauliflower 100g,Fresh Produce,Vegetables,Vegetables,FarmPick,3202,5665,1071,2127,WH-CBE-S01,1,kg,123,INR,True
OID00000021,SKU00021,Fresh Farm Carrot 500g,Fresh Produce,Vegetables,Vegetables,Fresh Farm,1858,2778,663,1050,WH-HYD-S03,8,kg,83,INR,True
OID00000022,SKU00022,Green Basket Okra 100g,Fresh Produce,Vegetables,Vegetables,Green Basket,1102,4917,286,1493,WH-CBE-S01,4,kg,62,INR,True
OID00000023,SKU00023,Aashirvaad Chana Dal 2kg,Pulses,Dal,Staples,Aashirvaad,780,1923,220,324,WH-CHE-S04,5,kg,168,INR,True
OID00000024,SKU00024,Himalaya Face Cream 100g,Personal Care,Bath & Body,Personal Care,Himalaya,1568,4963,451,996,WH-MUM-S05,9,piece,92,INR,True
OID00000025,SKU00025,Fresh Farm Kiwi 100g,Fresh Produce,Fruits,Fresh Fruits,Fresh Farm,4205,3305,1474,2661,WH-MUM-S05,2,kg,135,INR,True
OID00000026,SKU00026,FarmPick Carrot Premium,Fresh Produce,Vegetables,Vegetables,FarmPick,3607,3262,988,2254,WH-MUM-S05,1,kg,178,INR,True
OID00000027,SKU00027,Vim Fabric Conditioner 250ml,Home Care,Cleaning,Household,Vim,2891,4524,1263,1781,WH-BLR-S02,5,bottle,465,INR,True
OID00000028,SKU00028,Tata Tea Iced Tea Premium,Beverages,Soft Drinks,Cold Beverages,Tata Tea,6459,4819,2823,2942,WH-MUM-S05,2,bottle,57,INR,True
OID00000029,SKU00029,Pears Face Wash 2kg,Personal Care,Bath & Body,Personal Care,Pears,3159,3459,1346,1946,WH-BLR-S02,8,piece,586,INR,True
OID00000030,SKU00030,Vim Floor Cleaner 200g,Home Care,Cleaning,Household,Vim,5771,6914,2385,3098,WH-BLR-S02,5,bottle,178,INR,True
OID00000031,SKU00031,Lux Body Lotion 2kg,Personal Care,Bath & Body,Personal Care,Lux,2608,2602,967,1769,WH-MUM-S05,8,piece,287,INR,True
OID00000032,SKU00032,Fresh Farm Papaya 500g,Fresh Produce,Fruits,Fresh Fruits,Fresh Farm,2566,4605,664,1447,WH-HYD-S03,3,kg,266,INR,True
OID00000033,SKU00033,Aashirvaad Basmati Rice 100g,Rice & Staples,Rice,Staples,Aashirvaad,1216,2961,322,727,WH-HYD-S03,10,kg,186,INR,True
OID00000034,SKU00034,Aavin Cheese 250ml,Dairy,Milk,Fresh Milk,Aavin,3287,5274,1412,1593,WH-BLR-S02,4,packet,135,INR,True
OID00000035,SKU00035,Mamaearth Sanitary Pads 500g,Personal Care,Bath & Body,Personal Care,Mamaearth,5384,6278,2153,2737,WH-BLR-S02,7,piece,55,INR,True
OID00000036,SKU00036,Parle Murukku 100g,Snacks,Chips,Packaged Snacks,Parle,2485,2587,700,1021,WH-CHE-S04,4,packet,112,INR,True
OID00000037,SKU00037,24 Mantra Urad Dal 1kg,Pulses,Dal,Staples,24 Mantra,6815,3543,2891,3447,WH-CHE-S04,6,kg,131,INR,True
OID00000038,SKU00038,Bru Tea Powder 100g,Beverages,Soft Drinks,Cold Beverages,Bru,3574,3933,1379,2577,WH-CBE-S01,5,bottle,111,INR,True
OID00000039,SKU00039,Coca-Cola Orange Soda Premium,Beverages,Soft Drinks,Cold Beverages,Coca-Cola,5187,4276,1747,2489,WH-MUM-S05,2,bottle,217,INR,True
OID00000040,SKU00040,Modern Brown Bread Family Pack,Bakery,Bread,Bakery,Modern,6106,7014,2059,3223,WH-BLR-S02,6,packet,245,INR,True
OID00000041,SKU00041,Balaji Cookies 2kg,Snacks,Chips,Packaged Snacks,Balaji,5734,5198,2406,3121,WH-CHE-S04,6,packet,216,INR,True
OID00000042,SKU00042,Lux Toothpaste 500g,Personal Care,Bath & Body,Personal Care,Lux,3744,5083,1433,2309,WH-MUM-S05,10,piece,338,INR,True
OID00000043,SKU00043,FarmPick Grapes 250ml,Fresh Produce,Fruits,Fresh Fruits,FarmPick,2021,4450,679,1966,WH-CHE-S04,8,kg,266,INR,True
OID00000044,SKU00044,Colgate Face Wash Premium,Personal Care,Bath & Body,Personal Care,Colgate,5697,5394,1520,2675,WH-HYD-S03,2,piece,270,INR,True
OID00000045,SKU00045,Britannia Buns 200g,Bakery,Bread,Bakery,Britannia,500,3705,129,1202,WH-CHE-S04,7,packet,124,INR,True
OID00000046,SKU00046,Daawat Idli Rice 200g,Rice & Staples,Rice,Staples,Daawat,2298,4409,642,753,WH-CHE-S04,4,kg,90,INR,True
OID00000047,SKU00047,Colgate Bath Soap 500g,Personal Care,Bath & Body,Personal Care,Colgate,4866,3676,1459,1807,WH-CHE-S04,9,piece,602,INR,True
OID00000048,SKU00048,Organic Tattva Masoor Dal 500g,Pulses,Dal,Staples,Organic Tattva,3795,4627,1579,2801,WH-CHE-S04,8,kg,126,INR,True
OID00000049,SKU00049,Tata Tea Energy Drink 2kg,Beverages,Soft Drinks,Cold Beverages,Tata Tea,2549,2506,861,1546,WH-HYD-S03,6,bottle,296,INR,True
OID00000050,SKU00050,Amul Ghee 500ml,Dairy,Milk,Fresh Milk,Amul,5984,2479,1678,2216,WH-CHE-S04,6,packet,585,INR,True
OID00000051,SKU00051,Fresh Farm Papaya 100g,Fresh Produce,Fruits,Fresh Fruits,Fresh Farm,3490,6675,1504,2800,WH-MUM-S05,7,kg,284,INR,False
OID00000052,SKU00052,Haldiram Biscuits Premium,Snacks,Chips,Packaged Snacks,Haldiram,3732,5828,1334,2552,WH-BLR-S02,8,packet,122,INR,True
OID00000053,SKU00053,Aashirvaad Chana Dal 500g,Pulses,Dal,Staples,Aashirvaad,3053,5065,1171,2099,WH-CHE-S04,3,kg,219,INR,True
OID00000054,SKU00054,Aashirvaad Jeera Rice 500g,Rice & Staples,Rice,Staples,Aashirvaad,5731,4634,1463,2879,WH-CHE-S04,3,kg,57,INR,True
OID00000055,SKU00055,Bingo Popcorn 500ml,Snacks,Chips,Packaged Snacks,Bingo,2977,2960,945,1821,WH-HYD-S03,2,packet,250,INR,False
OID00000056,SKU00056,Dove Hand Wash 100g,Personal Care,Bath & Body,Personal Care,Dove,2136,2409,811,2245,WH-BLR-S02,4,piece,50,INR,True
OID00000057,SKU00057,Britannia Garlic Bread 2kg,Bakery,Bread,Bakery,Britannia,5784,4028,1578,2124,WH-HYD-S03,3,packet,83,INR,True
OID00000058,SKU00058,Heritage Curd 500ml,Dairy,Milk,Fresh Milk,Heritage,5040,4381,1285,2023,WH-CHE-S04,4,packet,107,INR,True
OID00000059,SKU00059,Britannia Rusk Premium,Bakery,Bread,Bakery,Britannia,5905,5793,2185,2532,WH-CBE-S01,6,packet,297,INR,True
OID00000060,SKU00060,Lays Namkeen 1L,Snacks,Chips,Packaged Snacks,Lays,5604,6111,1783,2743,WH-CBE-S01,7,packet,195,INR,True
OID00000061,SKU00061,Organic Tattva Moong Dal 2kg,Pulses,Dal,Staples,Organic Tattva,3867,6224,1102,2270,WH-MUM-S05,9,kg,183,INR,True
OID00000062,SKU00062,Surf Excel Dishwash Liquid 1L,Home Care,Cleaning,Household,Surf Excel,2311,2380,961,1238,WH-BLR-S02,8,bottle,643,INR,True
OID00000063,SKU00063,Daawat Basmati Rice 1kg,Rice & Staples,Rice,Staples,Daawat,4349,4296,1827,2299,WH-HYD-S03,5,kg,132,INR,True
OID00000064,SKU00064,Surf Excel Fabric Conditioner 1kg,Home Care,Cleaning,Household,Surf Excel,383,976,135,626,WH-CHE-S04,8,bottle,628,INR,True
OID00000065,SKU00065,Organic Tattva Chana Dal 1kg,Pulses,Dal,Staples,Organic Tattva,3971,3117,1622,1912,WH-CHE-S04,4,kg,138,INR,True
OID00000066,SKU00066,Parle Namkeen 250ml,Snacks,Chips,Packaged Snacks,Parle,4649,4062,1481,2708,WH-CHE-S04,5,packet,166,INR,True
OID00000067,SKU00067,FarmPick Carrot 500g,Fresh Produce,Vegetables,Vegetables,FarmPick,2884,5880,789,1986,WH-BLR-S02,4,kg,143,INR,True
OID00000068,SKU00068,Vim Fabric Conditioner 1kg,Home Care,Cleaning,Household,Vim,2618,2877,1167,1664,WH-HYD-S03,3,bottle,369,INR,False
OID00000069,SKU00069,Lux Body Lotion 500g,Personal Care,Bath & Body,Personal Care,Lux,672,2727,298,1531,WH-CHE-S04,2,piece,42,INR,True
OID00000070,SKU00070,24 Mantra Chana Dal 1L,Pulses,Dal,Staples,24 Mantra,3091,2125,886,1091,WH-CBE-S01,2,kg,162,INR,True
OID00000071,SKU00071,Lizol Toilet Cleaner 1kg,Home Care,Cleaning,Household,Lizol,1522,1697,627,1349,WH-CBE-S01,9,bottle,486,INR,True
OID00000072,SKU00072,Harpic Fabric Conditioner Premium,Home Care,Cleaning,Household,Harpic,3416,3384,1161,2167,WH-CHE-S04,5,bottle,642,INR,True
OID00000073,SKU00073,Lizol Toilet Cleaner 500g,Home Care,Cleaning,Household,Lizol,5424,3368,1584,3036,WH-BLR-S02,3,bottle,625,INR,True
OID00000074,SKU00074,FarmPick Guava 1kg,Fresh Produce,Fruits,Fresh Fruits,FarmPick,5947,3022,2193,2889,WH-HYD-S03,5,kg,272,INR,True
OID00000075,SKU00075,Modern Croissant 500g,Bakery,Bread,Bakery,Modern,3782,4244,1032,1592,WH-HYD-S03,3,packet,61,INR,True
OID00000076,SKU00076,Paper Boat Green Tea 500ml,Beverages,Soft Drinks,Cold Beverages,Paper Boat,1318,4041,453,1175,WH-HYD-S03,9,bottle,296,INR,True
OID00000077,SKU00077,FarmPick Tomato 100g,Fresh Produce,Vegetables,Vegetables,FarmPick,3839,3884,1523,2859,WH-CBE-S01,4,kg,167,INR,True
OID00000078,SKU00078,Nature Fresh Grapes Family Pack,Fresh Produce,Fruits,Fresh Fruits,Nature Fresh,5020,3680,1295,1753,WH-CHE-S04,5,kg,132,INR,True
OID00000079,SKU00079,Aashirvaad Idli Rice 250ml,Rice & Staples,Rice,Staples,Aashirvaad,1047,2661,360,1296,WH-CBE-S01,3,kg,129,INR,True
OID00000080,SKU00080,24 Mantra Chana Dal 200g,Pulses,Dal,Staples,24 Mantra,6964,4837,2800,2975,WH-HYD-S03,5,kg,142,INR,True
OID00000081,SKU00081,Aashirvaad Basmati Rice 100g,Rice & Staples,Rice,Staples,Aashirvaad,5687,5148,2410,3456,WH-BLR-S02,9,kg,137,INR,True
OID00000082,SKU00082,Organic Tattva Chana Dal 500g,Pulses,Dal,Staples,Organic Tattva,6525,4593,1698,2344,WH-HYD-S03,8,kg,238,INR,True
OID00000083,SKU00083,Nature Fresh Kiwi Family Pack,Fresh Produce,Fruits,Fresh Fruits,Nature Fresh,6847,3735,2039,2463,WH-CBE-S01,9,kg,248,INR,True
OID00000084,SKU00084,Green Basket Potato 2kg,Fresh Produce,Vegetables,Vegetables,Green Basket,5606,7274,2334,3454,WH-MUM-S05,5,kg,126,INR,True
OID00000085,SKU00085,Aashirvaad Chana Dal Premium,Pulses,Dal,Staples,Aashirvaad,4815,5608,1343,1833,WH-MUM-S05,3,kg,77,INR,True
OID00000086,SKU00086,Daawat Jeera Rice 2kg,Rice & Staples,Rice,Staples,Daawat,2488,4682,1030,1709,WH-MUM-S05,10,kg,213,INR,True
OID00000087,SKU00087,Milky Mist Lassi Family Pack,Dairy,Milk,Fresh Milk,Milky Mist,4267,5715,1361,2591,WH-CHE-S04,8,packet,359,INR,True
OID00000088,SKU00088,Harvest Muffin 250ml,Bakery,Bread,Bakery,Harvest,2213,2051,932,1873,WH-CHE-S04,7,packet,222,INR,True
OID00000089,SKU00089,Milky Mist Milk 200g,Dairy,Milk,Fresh Milk,Milky Mist,1334,3134,467,1775,WH-CHE-S04,2,packet,568,INR,True
OID00000090,SKU00090,Nature Fresh Orange 1L,Fresh Produce,Fruits,Fresh Fruits,Nature Fresh,3658,2273,1551,1967,WH-HYD-S03,6,kg,243,INR,True
OID00000091,SKU00091,Balaji Biscuits Family Pack,Snacks,Chips,Packaged Snacks,Balaji,2894,5758,1086,2185,WH-CBE-S01,10,packet,45,INR,True
OID00000092,SKU00092,Real Orange Soda 200g,Beverages,Soft Drinks,Cold Beverages,Real,3855,5998,1718,3115,WH-CHE-S04,3,bottle,375,INR,True
OID00000093,SKU00093,Fresh Farm Pomegranate 500ml,Fresh Produce,Fruits,Fresh Fruits,Fresh Farm,6822,4151,1782,2616,WH-BLR-S02,4,kg,311,INR,True
OID00000094,SKU00094,Amul Paneer 1kg,Dairy,Milk,Fresh Milk,Amul,946,3772,351,1234,WH-CHE-S04,10,packet,176,INR,True
OID00000095,SKU00095,Tata Tea Fruit Juice 2kg,Beverages,Soft Drinks,Cold Beverages,Tata Tea,5762,6194,1451,2503,WH-MUM-S05,3,bottle,57,INR,True
OID00000096,SKU00096,Balaji Mixture 2kg,Snacks,Chips,Packaged Snacks,Balaji,5534,4931,2448,3060,WH-BLR-S02,7,packet,257,INR,True
OID00000097,SKU00097,Aashirvaad Sona Masoori 500ml,Rice & Staples,Rice,Staples,Aashirvaad,5008,2341,1548,2252,WH-HYD-S03,1,kg,189,INR,True
OID00000098,SKU00098,Nature Fresh Guava 250ml,Fresh Produce,Fruits,Fresh Fruits,Nature Fresh,2644,4128,1071,1642,WH-BLR-S02,4,kg,168,INR,True
OID00000099,SKU00099,Aavin Milk 250ml,Dairy,Milk,Fresh Milk,Aavin,2830,3694,1153,1321,WH-BLR-S02,2,packet,332,INR,True
OID00000100,SKU00100,India Gate Ponni Rice Family Pack,Rice & Staples,Rice,Staples,India Gate,1382,3585,562,1411,WH-HYD-S03,3,kg,110,INR,True
OID00000101,SKU00101,24 Mantra Urad Dal 1kg,Pulses,Dal,Staples,24 Mantra,6888,2710,1880,2134,WH-CHE-S04,9,kg,153,INR,True
OID00000102,SKU00102,India Gate Sona Masoori 2kg,Rice & Staples,Rice,Staples,India Gate,4695,4898,1289,2143,WH-MUM-S05,7,kg,208,INR,True
OID00000103,SKU00103,FarmPick Carrot Premium,Fresh Produce,Vegetables,Vegetables,FarmPick,4162,3653,1061,2310,WH-BLR-S02,2,kg,138,INR,True
OID00000104,SKU00104,Nescafe Orange Soda 1L,Beverages,Soft Drinks,Cold Beverages,Nescafe,1445,1796,374,550,WH-CBE-S01,2,bottle,140,INR,True
OID00000105,SKU00105,Milky Mist Buttermilk Premium,Dairy,Milk,Fresh Milk,Milky Mist,3339,4204,1282,2488,WH-BLR-S02,7,packet,131,INR,True
OID00000106,SKU00106,Ariel Dishwash Liquid 1L,Home Care,Cleaning,Household,Ariel,568,2580,220,764,WH-BLR-S02,6,bottle,161,INR,True
OID00000107,SKU00107,Balaji Cookies 200g,Snacks,Chips,Packaged Snacks,Balaji,796,4715,262,750,WH-CHE-S04,2,packet,349,INR,True
OID00000108,SKU00108,Lizol Floor Cleaner Premium,Home Care,Cleaning,Household,Lizol,6745,5716,2136,2493,WH-BLR-S02,2,bottle,627,INR,True
OID00000109,SKU00109,Britannia Cake 2kg,Bakery,Bread,Bakery,Britannia,6643,3187,1856,3176,WH-BLR-S02,3,packet,153,INR,True
OID00000110,SKU00110,FarmPick Tomato 250ml,Fresh Produce,Vegetables,Vegetables,FarmPick,1379,3346,348,935,WH-CBE-S01,3,kg,87,INR,True
OID00000111,SKU00111,Aashirvaad Basmati Rice 250ml,Rice & Staples,Rice,Staples,Aashirvaad,6408,5887,1683,2701,WH-MUM-S05,10,kg,72,INR,True
OID00000112,SKU00112,Harvest Brown Bread 2kg,Bakery,Bread,Bakery,Harvest,6257,6128,2544,3993,WH-CHE-S04,1,packet,56,INR,True
OID00000113,SKU00113,Daawat Raw Rice 200g,Rice & Staples,Rice,Staples,Daawat,1184,1721,412,1420,WH-HYD-S03,10,kg,82,INR,True
OID00000114,SKU00114,Bru Coffee Premium,Beverages,Soft Drinks,Cold Beverages,Bru,5193,4948,1849,2878,WH-CHE-S04,2,bottle,426,INR,True
OID00000115,SKU00115,Himalaya Toothpaste 250ml,Personal Care,Bath & Body,Personal Care,Himalaya,3823,3562,1301,1868,WH-CHE-S04,7,piece,455,INR,True
OID00000116,SKU00116,Parle Cookies 1L,Snacks,Chips,Packaged Snacks,Parle,5748,4955,1730,2142,WH-CBE-S01,2,packet,53,INR,True
OID00000117,SKU00117,FarmPick Cabbage Family Pack,Fresh Produce,Vegetables,Vegetables,FarmPick,6950,4542,1918,2140,WH-MUM-S05,6,kg,51,INR,True
OID00000118,SKU00118,Aashirvaad Basmati Rice Premium,Rice & Staples,Rice,Staples,Aashirvaad,2656,2226,982,1802,WH-MUM-S05,4,kg,84,INR,True
OID00000119,SKU00119,Britannia Cake 1kg,Bakery,Bread,Bakery,Britannia,4856,4591,1570,2240,WH-CHE-S04,9,packet,38,INR,True
OID00000120,SKU00120,Coca-Cola Lemon Soda 250ml,Beverages,Soft Drinks,Cold Beverages,Coca-Cola,2538,5497,991,1723,WH-HYD-S03,1,bottle,112,INR,True
OID00000121,SKU00121,Ariel Floor Cleaner Family Pack,Home Care,Cleaning,Household,Ariel,1462,1119,582,744,WH-BLR-S02,7,bottle,489,INR,True
OID00000122,SKU00122,Heritage Cheese 200g,Dairy,Milk,Fresh Milk,Heritage,6211,5659,1955,3217,WH-CBE-S01,3,packet,191,INR,True
OID00000123,SKU00123,Nature Fresh Banana Premium,Fresh Produce,Fruits,Fresh Fruits,Nature Fresh,2529,3813,856,1824,WH-CHE-S04,7,kg,179,INR,True
OID00000124,SKU00124,Dove Hand Wash Premium,Personal Care,Bath & Body,Personal Care,Dove,3821,5306,1039,2527,WH-CHE-S04,9,piece,345,INR,False
OID00000125,SKU00125,Aashirvaad Basmati Rice 500g,Rice & Staples,Rice,Staples,Aashirvaad,362,3780,105,637,WH-HYD-S03,5,kg,128,INR,True
OID00000126,SKU00126,Organic Tattva Chana Dal 1kg,Pulses,Dal,Staples,Organic Tattva,1739,4551,479,1669,WH-MUM-S05,9,kg,231,INR,True
OID00000127,SKU00127,Green Basket Tomato 250ml,Fresh Produce,Vegetables,Vegetables,Green Basket,3873,4772,982,1241,WH-MUM-S05,7,kg,166,INR,True
OID00000128,SKU00128,Daawat Basmati Rice Premium,Rice & Staples,Rice,Staples,Daawat,3618,2387,919,1684,WH-CHE-S04,6,kg,67,INR,True
OID00000129,SKU00129,Fresh Farm Cauliflower 2kg,Fresh Produce,Vegetables,Vegetables,Fresh Farm,5124,3573,1691,1952,WH-HYD-S03,4,kg,105,INR,True
OID00000130,SKU00130,FarmPick Potato 500g,Fresh Produce,Vegetables,Vegetables,FarmPick,4646,3888,1635,2450,WH-BLR-S02,2,kg,57,INR,True
OID00000131,SKU00131,Amul Curd 1L,Dairy,Milk,Fresh Milk,Amul,1751,4179,770,2156,WH-MUM-S05,10,packet,489,INR,True
OID00000132,SKU00132,Vim Dishwash Liquid 1L,Home Care,Cleaning,Household,Vim,5438,2982,1703,2703,WH-CHE-S04,5,bottle,341,INR,True
OID00000133,SKU00133,Balaji Banana Chips 250ml,Snacks,Chips,Packaged Snacks,Balaji,2842,1382,972,1149,WH-HYD-S03,2,packet,340,INR,True
OID00000134,SKU00134,FarmPick Spinach 100g,Fresh Produce,Vegetables,Vegetables,FarmPick,4453,5013,1455,2743,WH-CHE-S04,10,kg,68,INR,True
OID00000135,SKU00135,Organic Tattva Moong Dal 200g,Pulses,Dal,Staples,Organic Tattva,806,4002,274,1077,WH-MUM-S05,3,kg,70,INR,True
OID00000136,SKU00136,24 Mantra Masoor Dal 2kg,Pulses,Dal,Staples,24 Mantra,4582,4076,1704,2549,WH-CHE-S04,7,kg,146,INR,True
OID00000137,SKU00137,Nature Fresh Pomegranate 500ml,Fresh Produce,Fruits,Fresh Fruits,Nature Fresh,839,4285,265,1507,WH-HYD-S03,5,kg,348,INR,True
OID00000138,SKU00138,Lays Protein Bar 500ml,Snacks,Chips,Packaged Snacks,Lays,5736,3682,1596,2412,WH-BLR-S02,10,packet,53,INR,True
OID00000139,SKU00139,Aashirvaad Sona Masoori 500ml,Rice & Staples,Rice,Staples,Aashirvaad,6961,3478,1918,3096,WH-MUM-S05,6,kg,49,INR,True
OID00000140,SKU00140,Amul Yogurt 500g,Dairy,Milk,Fresh Milk,Amul,6576,3409,2283,2846,WH-CBE-S01,5,packet,133,INR,True
OID00000141,SKU00141,Mamaearth Bath Soap Premium,Personal Care,Bath & Body,Personal Care,Mamaearth,5722,3716,1815,3180,WH-CHE-S04,3,piece,196,INR,True
OID00000142,SKU00142,Harpic Air Freshener 1kg,Home Care,Cleaning,Household,Harpic,3885,4621,1005,1851,WH-CHE-S04,10,bottle,351,INR,True
OID00000143,SKU00143,Aashirvaad Masoor Dal 1kg,Pulses,Dal,Staples,Aashirvaad,2259,5466,704,1764,WH-HYD-S03,10,kg,172,INR,True
OID00000144,SKU00144,Nescafe Tea Powder 1kg,Beverages,Soft Drinks,Cold Beverages,Nescafe,4620,5317,1541,1972,WH-MUM-S05,3,bottle,148,INR,True
OID00000145,SKU00145,24 Mantra Masoor Dal 200g,Pulses,Dal,Staples,24 Mantra,1140,5089,447,1603,WH-HYD-S03,2,kg,101,INR,True
OID00000146,SKU00146,Lux Sanitary Pads 1L,Personal Care,Bath & Body,Personal Care,Lux,1051,4360,461,1015,WH-HYD-S03,1,piece,454,INR,True
OID00000147,SKU00147,Pears Toothpaste 100g,Personal Care,Bath & Body,Personal Care,Pears,3463,3340,1554,2421,WH-HYD-S03,2,piece,373,INR,True
OID00000148,SKU00148,Aavin Cheese 1L,Dairy,Milk,Fresh Milk,Aavin,4170,5115,1623,2007,WH-CHE-S04,10,packet,35,INR,True
OID00000149,SKU00149,FarmPick Mango 500ml,Fresh Produce,Fruits,Fresh Fruits,FarmPick,1524,4055,548,1894,WH-CBE-S01,5,kg,161,INR,True
OID00000150,SKU00150,Fresh Farm Papaya 200g,Fresh Produce,Fruits,Fresh Fruits,Fresh Farm,5534,3555,2262,3298,WH-CHE-S04,10,kg,314,INR,False
OID00000151,SKU00151,Closeup Toothpaste Premium,Personal Care,Bath & Body,Personal Care,Closeup,6186,2709,1724,2703,WH-HYD-S03,4,piece,614,INR,True
OID00000152,SKU00152,FarmPick Cabbage Family Pack,Fresh Produce,Vegetables,Vegetables,FarmPick,854,3668,376,1590,WH-MUM-S05,1,kg,119,INR,True
OID00000153,SKU00153,Nature Fresh Papaya 200g,Fresh Produce,Fruits,Fresh Fruits,Nature Fresh,3358,2604,1009,1142,WH-HYD-S03,4,kg,93,INR,True
OID00000154,SKU00154,Bingo Potato Chips 1L,Snacks,Chips,Packaged Snacks,Bingo,3186,3277,1144,2560,WH-CHE-S04,3,packet,79,INR,True
OID00000155,SKU00155,Aashirvaad Urad Dal 100g,Pulses,Dal,Staples,Aashirvaad,1951,4640,504,1012,WH-HYD-S03,5,kg,191,INR,True
OID00000156,SKU00156,Colgate Body Lotion 250ml,Personal Care,Bath & Body,Personal Care,Colgate,599,1901,239,730,WH-CBE-S01,6,piece,309,INR,True
OID00000157,SKU00157,Parle Biscuits 500g,Snacks,Chips,Packaged Snacks,Parle,6389,4438,2159,3050,WH-CHE-S04,8,packet,198,INR,True
OID00000158,SKU00158,Pears Shampoo 500g,Personal Care,Bath & Body,Personal Care,Pears,6256,5543,2095,3076,WH-MUM-S05,5,piece,358,INR,True
OID00000159,SKU00159,Haldiram Mixture 1L,Snacks,Chips,Packaged Snacks,Haldiram,3952,3118,1464,2436,WH-HYD-S03,8,packet,31,INR,True
OID00000160,SKU00160,Balaji Biscuits 500ml,Snacks,Chips,Packaged Snacks,Balaji,2549,1487,963,1180,WH-HYD-S03,9,packet,91,INR,True
OID00000161,SKU00161,Milky Mist Milk 250ml,Dairy,Milk,Fresh Milk,Milky Mist,1334,3272,351,1772,WH-CHE-S04,10,packet,63,INR,True
OID00000162,SKU00162,24 Mantra Urad Dal Family Pack,Pulses,Dal,Staples,24 Mantra,3936,3422,1584,2859,WH-HYD-S03,7,kg,140,INR,True
OID00000163,SKU00163,Britannia Brown Bread Family Pack,Bakery,Bread,Bakery,Britannia,6326,4561,1816,2976,WH-CBE-S01,5,packet,158,INR,True
OID00000164,SKU00164,Harvest Rusk 200g,Bakery,Bread,Bakery,Harvest,5985,4517,2593,3698,WH-BLR-S02,2,packet,256,INR,True
